Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
10/8/2007,Semtech,US,Biz,Tech,Stolen Laptop,?,?,Outside,No,,?,http://attrition.org/dataloss/2007/10/semtech01.html,DL-0796,,SMTC,No,No,No
10/9/2007,Pembroke School District,US,Edu,HS,Web,SSN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/10/pembroke01.html,DL-0848,,No,No,No,No
10/10/2007,Pfizer,US,Biz,Med,Web,NAA,DOB,Outside,Yes,Wheels Inc.,1800,http://attrition.org/dataloss/2007/10/pfizer04.html,DL-0797,,PFE,No,No,No
10/10/2007,Commerce Bank,US,Biz,Fin,Web,?,?,Outside,No,,3000,http://attrition.org/dataloss/2007/10/commerce01.html,DL-0849,,No,No,No,No
10/12/2007,King County (WA) Transportation Department,US,Gov,County,Stolen Laptop,SSN,NAA,Outside,No,,1400,http://attrition.org/dataloss/2007/10/kingco01.html,DL-0798,,No,No,No,No
10/13/2007,Montana State University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,1400,http://attrition.org/dataloss/2007/10/msu01.html,DL-0799,,No,No,No,No
10/15/2007,Transportation Security Administration,US,Gov,Fed,Stolen Laptops,SSN,NAA,Outside,Yes,Integrated Biometric Technology,3930,http://attrition.org/dataloss/2007/10/tsa01.html,DL-0800,,No,No,No,No
10/16/2007,Administaff,US,Biz,?,Stolen Laptop,SSN,NAA,Outside,No,,159000,http://attrition.org/dataloss/2007/10/adminis01.html,DL-0801,,ASF,No,No,No
10/17/2007,Home Depot,US,Biz,Retail,Stolen Laptop,SSN,NAA,Outside,No,,10000,http://attrition.org/dataloss/2007/10/hdepot01.html,DL-0802,,HD,No,No,No
10/17/2007,Louisiana Office of Student Financial Assistance,US,Edu,Uni,Lost Tape,SSN,FIN,Outside,Yes,Iron Mountain,?,http://attrition.org/dataloss/2007/10/losfa01.html,DL-0803,,No,No,No,No
10/18/2007,University of Cincinnati,US,Edu,Uni,Stolen Media,SSN,?,Outside,No,,7000,http://attrition.org/dataloss/2007/10/uc01.html,DL-0804,,No,No,No,No
10/23/2007,West Virginia Public Employees Insurance Agency,US,Gov,State,Lost Tape,SSN,NAA,Outside,Yes,?,200000,http://attrition.org/dataloss/2007/10/wvpeia01.html,DL-0805,,No,No,No,No
10/23/2007,Blockbuster,US,Biz,Retail,Disposal - Documents,SSN,CCN,Outside,No,,400,http://attrition.org/dataloss/2007/10/block01.html,DL-0806,,BBI,Partial,No,No
10/23/2007,Dixie State College,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,11000,http://attrition.org/dataloss/2007/10/dixie01.html,DL-0807,,No,No,No,No
10/23/2007,Bates College,US,Edu,Uni,Web,SSN,NAA,Inside - Accidental,No,,500,http://attrition.org/dataloss/2007/10/bates01.html,DL-0808,,No,No,No,No
10/24/2007,Not Your Average Joes,US,Biz,Retail,Hack,CCN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/10/joes01.html,DL-0809,,No,No,No,No
